458, 11, 497
256, 202, 65
164, 169, 30
417, 117, 320
390, 85, 471
264, 33, 8
276, 291, 4
355, 170, 154
154, 236, 313
204, 59, 469
312, 79, 285
276, 458, 409
217, 237, 374
320, 5, 320
110, 60, 279
10, 341, 202
369, 14, 208
138, 43, 357
329, 399, 132
60, 434, 381
413, 470, 326
118, 123, 385
408, 13, 318
189, 132, 94
32, 203, 226
477, 166, 105
83, 246, 396
298, 217, 87
432, 274, 71
219, 359, 329
140, 111, 248
7, 378, 120
225, 219, 307
145, 97, 221
500, 378, 194
337, 385, 275
412, 23, 218
239, 471, 402
203, 75, 5
341, 211, 133
139, 146, 142
262, 58, 193
432, 31, 167
432, 306, 115
222, 5, 195
177, 410, 24
448, 109, 305
354, 324, 122
178, 213, 28
306, 438, 97
68, 28, 378
300, 418, 484
343, 432, 139
379, 236, 92
44, 470, 228
423, 179, 353
202, 364, 407
146, 311, 268
128, 100, 150
122, 490, 152
410, 97, 203
386, 242, 30
134, 13, 342
257, 218, 483
454, 86, 332
252, 104, 318
138, 335, 281
14, 72, 59
246, 5, 458
349, 466, 193
225, 353, 18
443, 155, 308
182, 4, 447
424, 406, 209
253, 355, 497
105, 49, 481
195, 40, 57
288, 337, 499
400, 133, 296
432, 196, 444
468, 320, 148
290, 275, 294
418, 56, 84
125, 229, 161
5, 307, 76
244, 374, 442
136, 250, 41
224, 374, 287
371, 398, 86
445, 470, 491
474, 338, 440
447, 74, 265
170, 496, 288
75, 139, 280
167, 132, 63
270, 466, 487
127, 89, 290
195, 330, 362
134, 322, 425
146, 200, 196
