661,958,650
939,889,716
758,884,767
681,772,703
584,814,942
631,782,753
742,625,561
845,546,575
629,789,652
523,698,717
569,626,510
788,726,698
810,752,941
799,556,555
794,616,723
704,953,711
533,788,670
583,604,641
789,771,951
633,848,688
887,779,912
728,699,860
647,703,767
723,561,916
589,704,690
589,912,938
796,734,713
640,949,949
705,804,859
910,817,693
941,585,558
715,826,843
986,780,611
571,640,711
864,622,507
913,945,607
557,863,818
980,537,947
952,914,678
874,778,912
965,763,593
906,817,883
623,710,699
798,562,849
877,708,621
915,674,604
764,638,906
871,981,994
967,740,568
968,920,589
576,978,831
675,901,982
872,928,574
897,746,506
901,935,819
957,609,777
960,858,639
771,972,605
568,848,955
503,891,858
889,672,998
508,701,812
778,757,686
993,734,606
894,733,642
666,759,703
536,899,567
781,871,883
939,717,862
915,507,733
783,747,820
638,519,532
603,530,834
594,636,619
841,956,576
850,959,595
539,861,542
551,761,660
790,779,766
798,748,707
936,899,613
961,520,521
513,932,972
816,687,655
844,661,686
682,528,880
899,721,590
889,594,860
620,959,681
508,865,523
794,969,979
835,579,761
595,666,792
881,715,823
615,854,638
852,762,538
712,821,901
638,792,735
608,844,859
724,815,941
858,859,558
532,600,725
710,720,876
653,557,749
975,974,527
704,986,631
705,975,686
887,711,720
898,686,975
768,612,962
920,915,606
805,642,739
579,709,743
545,649,670
781,892,674
1000,541,572
773,654,554
726,850,757
710,744,819
956,602,777
772,549,548
939,978,983
610,762,715
596,799,523
626,743,946
821,703,651
803,967,959
807,737,985
764,709,799
882,570,501
563,900,642
516,772,663
582,776,732
830,768,785
581,594,887
952,905,678
613,897,706
536,955,906
913,792,642
948,700,905
666,682,1000
709,740,622
560,911,583
729,820,526
722,986,612
703,542,567
672,752,586
667,947,623
848,581,614
957,880,619
739,569,719
839,631,505
857,958,915
884,990,921
547,936,764
610,566,823
505,820,522
936,737,669
754,552,809
615,610,883
906,697,701
599,580,830
754,852,977
755,537,902
709,581,657
638,891,817
806,644,601
565,664,913
954,888,659
960,820,871
605,733,898
916,570,923
966,900,846
751,761,766
831,892,801
532,892,699
